code,name,used_qty_2yr,last_used,jes_balance
C01-1028-18-002,Swarovski PP#1028/18 Crystal,7340019,2026-07-16,158683
C01-1028-26-002,Swarovski PP#1028/26 Crystal,4497897,2026-06-16,108072
C01-8016-14-005,Swarovski Strass #8016/14 double hole Rosaline,3044726,2025-10-16,34071
C01-8016-14-007,Swarovski Strass #8016/14 double hole Bordeaux,3037445,2025-10-16,30277
C01-8016-14-002,Swarovski Strass #8016/14 double hole Crystal,2668528,2025-10-17,19383
C01-8016-14-001,Swarovski Strass #8016/14 double hole Medium Sapph,2197281,2025-10-16,14064
C01-1028-18-001,Swarovski PP#1028/18 Sapphire,2184356,2026-06-16,80616
C01-8016-14-004,Swarovski Strass #8016/14 dbl hole Antique Green,1645795,2025-10-16,10371
C01-8016-14-006,Swarovski Strass #8016/14 double hole Blue Violet,1536513,2025-10-16,16608
C01-1028-18-005,Swarovski PP#1028/18 Rose,1473671,2026-07-16,15106
C01-1028-18-020,Swarovski PP#1028/18 Peridot,1357983,2025-12-16,17359
C01-8016-14-011,Swarovski Strass #8016/14 double hole Violet,1263979,2025-10-16,26429
C01-1028-18-016,Swarovski PP#1028/18 Aquamarine,1178457,2026-04-02,15840
C01-1028-18-022,Swarovski PP#1028/18 Siam,1172756,2026-06-16,4975
C01-1028-18-008,Swarovski PP#1028/18 Emerald,1169524,2026-06-16,24456
C01-8016-14-009,Swarovski Strass #8016/14 double hole Topaz,1138150,2025-10-16,16605
C01-8016-14-013,Swarovski strass#8016/14 double hole Crystal BL.AB,999883,2025-10-16,41821
C01-8016-14-003,Swarovski Strass #8016/14 double hole Light Topaz,991483,2026-07-16,39942
C01-8016-14-010,Swarovski Strass#8016/14 double hole Light Peridot,985573,2025-10-16,17868
C01-1028-26-005,Swarovski PP#1028/26 Rose,846718,2026-06-16,31271
C01-1028-18-021,Swarovski PP#1028/18 Ruby,768720,2026-03-19,17651
C01-1028-26-021,Swarovski PP#1028/26 Ruby,757352,2026-07-16,16526
C01-1028-18-019,Swarovski PP#1028/18 Light Amethyst,735286,2026-07-16,97791
C01-1028-18-015,Swarovski PP#1028/18 Amethyst,701405,2026-06-16,11638
C01-1028-18-009,Swarovski PP#1028/18 Topaz,690881,2026-06-16,41786
C01-1028-18-037,Swarovski PP#1028/18 Light Rose,658036,2026-04-16,224552
C01-1028-18-017,Swarovski PP#1028/18 Blue Zircon,656844,2026-04-02,66219
C01-8016-14-012,Swarovski Strass #8016/14 double hole Golden Teak,645658,2026-06-16,49860
C01-1028-18-025,Swarovski PP#1028/18 Capri Blue,641165,2026-06-16,24951
C01-8016-14-008,Swarovski Strass #8016/14 double hole Emerald,598428,2025-10-16,4105
C01-1028-26-020,Swarovski PP#1028/26 Peridot,533638,2026-07-16,18997
C01-1028-26-001,Swarovski PP#1028/26 Sapphire,477688,2026-03-19,61518
C01-1028-26-016,Swarovski PP#1028/26 Aquamarine,450607,2026-07-16,74970
C01-1028-26-019,Swarovski PP#1028/26 Light Amethyst,430083,2026-07-16,72984
C01-1028-26-008,Swarovski PP#1028/26 Emerald,414512,2026-04-02,35117
C01-1028-26-022,Swarovski PP#1028/26 Siam,394194,2026-05-21,36642
C01-1028-26-023,Swarovski PP#1028/26 Black Diamond,390471,2026-06-15,45520
C01-1028-26-009,Swarovski PP#1028/26 Topaz,357986,2026-06-16,27712
C01-1028-32-009,Swarovski PP#1028/32 Topaz,317495,2026-06-16,15392
C01-1028-18-024,Swarovski PP#1028/18 Light Colorado Topaz,293220,2026-01-30,77025
C01-1028-26-015,Swarovski PP#1028/26 Amethyst,279276,2026-04-02,73478
C01-8116-14-028,Swarovski Strass #8116/14 double hole  Dk Sapph,277870,2025-09-30,9788
C01-1028-32-001,Swarovski PP#1028/32 Sapphire,250240,2026-06-16,33333
C01-1028-32-002,Swarovski PP#1028/32 Crystal,228559,2026-04-02,21830
C01-801 114-002,Swarovski Spectra #8290/14 one hole Crystal,228224,2025-09-30,10537
C01-1028-26-013,Swarovski PP#1028/26 BL.AB,224567,2025-12-15,50203
C01-1028-26-017,Swarovski PP#1028/26 Blue Zircon,222529,2026-04-02,4101
C01-1028-32-021,Swarovski PP#1028/32 Ruby,192177,2026-06-16,23855
C01-1028-18-003,Swarovski PP#1028/18 Light Topaz,183226,2026-04-02,19023
C01-1028-18-013,Swarovski PP#1028/18 AB.BL,180963,2026-04-02,31388
C01-1028-26-024,Swarovski PP#1028/26 Light Colorado Topaz,151008,2026-05-21,29712
BDC-8232-0014-002,Bohemia glass 8232/14(C1) double hole Crystal,140709,2026-06-16,8815
C01-1028-32-005,Swarovski PP#1028/32 Rose,134568,2025-10-17,19605
C01-1028-32-025,Swarovski PP#1028/32 Capri Blue,126564,2026-06-16,33764
C01-1028-32-016,Swarovski PP#1028/32 Aquamarine,123648,2026-06-16,43768
C01-1028-18-023,Swarovski PP#1028/18 Black Diamond,118248,2026-01-30,27303
C01-8115-14-004,Swarovski Strass #8115/14 one hole Antique Green,117541,2026-04-02,4762
C01-1028-32-008,Swarovski PP#1028/32 Emerald,117016,2026-06-16,23574
C01-1028-32-024,Swarovski PP#1028/32 Light Colorado Topaz,112204,2026-06-16,15150
C01-1028-32-015,Swarovski PP#1028/32 Amethyst,110808,2026-06-16,19359
C01-1028-32-017,Swarovski PP#1028/32 Blue Zircon,105528,2026-06-16,39287
BDC-8232-0014-005,Bohemia glass 8232/14(PI) double hole Rosaline,102697,2026-07-16,24977
C01-8016-18-002,Swarovski Strass #8016/18 double hole Crystal,100185,2024-09-04,7617
C01-8102-20-002,Swarovski Strass #8102/20 double hole Crystal,94206,2026-01-22,33967
C01-1028-32-018,Swarovski PP#1028/32 Garnet,87526,2026-06-16,20926
C01-1028-32-026,Swarovski PP#1028/32 Chrysolite,86561,2026-06-16,22618
C01-8115-14-007,Swarovski Strass #8115/14 one hole Bordeaux,83634,2025-12-15,10198
C01-1028-32-014,Swarovski PP#1028/32 Jet,83079,2026-06-16,28394
C01-8115-14-005,Swarovski Strass #8115/14 one hole Rosaline,82568,2026-03-19,12814
C01-8115-14-003,Swarovski Strass #8115/14 one hole Light Topaz,67878,2026-04-02,16600
C01-8641-2012-002,Swarovski Strass #8641/20 one hole Crystal,67210,2026-06-16,7181
C01-8115-14-002,Swarovski Strass #8115/14 one hole Crystal,67104,2026-06-16,21864
BDC-8232-0014-007,Bohemia glass 8232/14(RE) double hole Ruby,61297,2026-07-16,11700
C01-1028-32-013,Swarovski PP#1028/32  AB BL,59159,2026-07-16,14818
C01-8115-14-001,Swarovski Strass #8115/14 one hole Medium Sapphire,56349,2026-03-19,49597
C01-864 120-002,Swarovski Spectra#8290/20 Drop crystal one hole CL,54751,2024-08-30,3393
C01-1028-18-040,Swarovski PP#1028/18 White Opal,52481,2025-10-16,41762
C01-1028-24-041,Swarovski PP#1028/24 Vintage Rose,51155,2025-10-17,63475
C01-1028-26-018,Swarovski PP#1028/26 Garnet,50162,2026-01-22,41
C01-8115-14-006,Swarovski Strass #8115/14 one hole Blue Violet,46039,2025-12-15,11358
C01-1028-18-046,Swarovski PP#1028/18 Smoked Topaz,44762,2026-05-21,2772
C01-1028-26-042,Swarovski PP#1028/26 Jonquil,40901,2026-01-22,24566
C01-1080-14-002,Asfour #1080/14 double hole Crystal,40834,2026-06-16,4897
C01-8102-20-001,Swarovski Strass #8102/20 double hole medium Sapph,36867,2026-04-02,21218
BDC-8232-0014-001,Bohemia glass 8232/14(BL) double hole Medium Sapph,36605,2026-07-16,4444
BDC-8232-0014-011,Bohemia glass 8232/14(VL) double hole Violet,34077,2026-07-16,3256
C01-1028-18-018,Swarovski PP#1028/18 Garnet,32026,2026-01-22,26586
C01-1028-18-042,Swarovski PP#1028/18 Jonquil,31950,2026-01-22,8476
BDC-8232-0014-013,Bohemia glass 8232/14(AB) double hole Blue AB,31214,2026-07-16,4822
C01-8115-14-009,Swarovski Strass #8115/14 one hole Topaz,30680,2025-12-15,14591
C01-1028-18-035,Swarovski PP#1028/18 Fuchsia,30502,2025-12-15,22261
C01-1028-24-040,Swarovski PP#1028/24 White Opal,27482,2025-12-15,67004
C01-8015-20-001,Swarovski Strass #8015/20 one hole Medium Sapphire,26920,2024-07-24,23966
C01-1028-32-023,Swarovski PP#1028/32 Black Diamond,24845,2026-05-21,40863
C01-1028-32-020,Swarovski PP#1028/32 Peridot,24351,2025-12-15,16348
C01-8115-14-011,Swarovski Strass #8115/14 one hole Violet,24170,2026-07-16,24239
BDC-8232-0014-004,Bohemia glass 8232/14(GR) double hole Aquamarine,23396,2026-07-16,1836
BDC-8232-0014-006,Bohemia glass 8232/14(PU) double hole BlueViolet,21783,2026-07-16,1683
C01-1028-26-025,Swarovski PP#1028/26 Capri Blue,21265,2025-12-15,0
C01-1028-32-022,Swarovski PP#1028/32 Siam,20088,2025-10-16,32135
C01-1028-32-042,Swarovski PP#1028/32 Jonquil,19808,2026-01-22,19138
C01-8115-14-008,Swarovski Strass #8115/14 one hole Emerlad,19713,2025-12-15,29705
C01-8115-14-010,Swarovski Strass #8115/14 one hole Light Peridot,18462,2025-09-30,13538
BDC-8232-0014-009,Bohemia glass 8232/14(TO) double holeTopaz,15451,2026-06-16,10
BDC-8232-0014-008,Bohemia glass 8232/14(EM) double hole Emerald,13403,2026-06-16,640
BDC-8232-0014-003,Bohemia glass 8232/14(GO) double hole Amber,11394,2026-07-16,36
C01-1088-SS29-009,Swarovski SS#1088/SS29  TO,11161,2025-12-15,1492
BDC-8232-0014-010,Bohemia glass 8232/14(LP) double hole Light Perido,11103,2026-07-16,3576
C01-1028-26-035,Swarovski PP#1028/26 Fuchsia,9457,2026-01-22,9139
C01-1028-18-041,Swarovski PP#1028/18 Vintage Rose,8465,2025-10-17,14473
BDC-8232-0014-028,Bohemia glass 8232/14(DB) double hole DarkSapphire,8352,2026-03-19,9508
C01-1028-18-044,Swarovski PP#1028/18 Light Peach,8327,2025-12-15,7665
C01-801 220-002,Swarovski spectra #8290/20 double hole Crystal,7583,2024-11-21,5708
C01-8115-14-012,Swarovski Strass #815/14 one hole Golden Teak,7056,2026-05-21,15461
C01-8116-14-038,Swarovski Strass#8016/14 double hole Golden Shadow,6096,2025-11-13,4385
C01-8115-14-028,Swarovski Strass #8115/14 one hole  Dk Sapph,5766,2025-12-15,15405
BDC-8232-0018-002,Bohemia glass 8232/18(CL) double hole Crystal,4694,2026-06-16,4190
C01-1028-25-017,Swarovski PP#1028/25  Blue Zircon,3596,2026-01-22,44554
C01-1032-14-002,Asfour #1032/14 double hole Crystal,3184,2026-01-21,816
C01-1080-18-002,Asfour #1080/18 double hole Crystal,3060,2025-10-16,764
BDC-3130-1414-007,Bohemia heart crystal #3130 (14.4x14) Ruby,2900,2025-10-16,5928
BDC-8249-0014-001,Bohemia glass 8249/14(BL) double hole Medium Sapph,2736,2025-10-17,3408
BDC-8232-0014-012,Bohemia glass 8232/14(GT) double hole Golden Teak,2186,2026-06-15,1217
BDC-3130-1414-002,Bohemia heart crystal #3130(14.4x14) Crystal,2100,2026-06-16,17074
BDC-8149-0014-001,Bohemia glass 8149/14(BL) one  hole Medium Sapph,624,2025-10-17,1209
C01-1028-26-014,Swarovski PP#1028/26 Jet,395,2026-04-16,0
BDC-3130-1414-013,Bohemia heart crystal #3130(14.4x14) Blue AB,291,2026-07-16,1725
BDC-3130-1414-005,Bohemia heart crystal #3130(14.4x14) Rosaline,290,2026-07-16,4241
